"","iV_Music","iV_Scent","dV_Evaluation"
"1",0,0,3
"2",0,0,3
"3",0,0,3
"4",0,0,4
"5",0,0,4
"6",0,0,4
"7",0,0,5
"8",0,0,5
"9",0,0,5
"10",0,0,5
"11",0,0,5
"12",0,0,5
"13",0,0,5
"14",0,0,6
"15",0,0,6
"16",0,0,6
"17",0,0,6
"18",0,0,6
"19",0,0,6
"20",0,0,6
"21",0,0,6
"22",0,0,6
"23",0,0,6
"24",0,0,6
"25",0,0,6
"26",0,0,6
"27",0,0,7
"28",0,0,7
"29",0,0,7
"30",0,0,7
"31",0,0,7
"32",0,0,7
"33",0,0,7
"34",0,0,7
"35",0,0,7
"36",0,0,7
"37",0,0,8
"38",0,0,8
"39",0,0,8
"40",0,0,8
"41",0,0,8
"42",0,0,9
"43",0,0,9
"44",0,0,9
"45",0,0,9
"46",0,0,9
"47",0,0,9
"48",0,0,9
"49",0,0,9
"50",0,0,9
"51",0,1,1
"52",0,1,1
"53",0,1,2
"54",0,1,2
"55",0,1,2
"56",0,1,2
"57",0,1,3
"58",0,1,3
"59",0,1,3
"60",0,1,3
"61",0,1,3
"62",0,1,4
"63",0,1,4
"64",0,1,4
"65",0,1,4
"66",0,1,4
"67",0,1,4
"68",0,1,4
"69",0,1,4
"70",0,1,5
"71",0,1,5
"72",0,1,5
"73",0,1,5
"74",0,1,5
"75",0,1,5
"76",0,1,5
"77",0,1,5
"78",0,1,5
"79",0,1,6
"80",0,1,6
"81",0,1,6
"82",0,1,6
"83",0,1,6
"84",0,1,7
"85",0,1,7
"86",0,1,7
"87",0,1,7
"88",0,1,7
"89",0,1,7
"90",0,1,7
"91",0,1,7
"92",0,1,8
"93",0,1,8
"94",0,1,8
"95",0,1,8
"96",0,1,8
"97",0,1,9
"98",0,1,9
"99",0,1,9
"100",0,1,9
"101",1,0,2
"102",1,0,1
"103",1,0,2
"104",1,0,2
"105",1,0,2
"106",1,0,2
"107",1,0,3
"108",1,0,3
"109",1,0,3
"110",1,0,3
"111",1,0,4
"112",1,0,4
"113",1,0,4
"114",1,0,4
"115",1,0,4
"116",1,0,4
"117",1,0,4
"118",1,0,5
"119",1,0,5
"120",1,0,5
"121",1,0,5
"122",1,0,5
"123",1,0,5
"124",1,0,5
"125",1,0,5
"126",1,0,6
"127",1,0,6
"128",1,0,6
"129",1,0,6
"130",1,0,6
"131",1,0,6
"132",1,0,6
"133",1,0,6
"134",1,0,6
"135",1,0,6
"136",1,0,6
"137",1,0,6
"138",1,0,6
"139",1,0,6
"140",1,0,7
"141",1,0,7
"142",1,0,7
"143",1,0,7
"144",1,0,7
"145",1,0,8
"146",1,0,8
"147",1,0,8
"148",1,0,8
"149",1,0,8
"150",1,0,9
"151",1,1,3
"152",1,1,3
"153",1,1,4
"154",1,1,4
"155",1,1,4
"156",1,1,4
"157",1,1,4
"158",1,1,4
"159",1,1,4
"160",1,1,4
"161",1,1,5
"162",1,1,5
"163",1,1,5
"164",1,1,5
"165",1,1,5
"166",1,1,5
"167",1,1,6
"168",1,1,6
"169",1,1,6
"170",1,1,6
"171",1,1,6
"172",1,1,6
"173",1,1,6
"174",1,1,6
"175",1,1,6
"176",1,1,7
"177",1,1,7
"178",1,1,7
"179",1,1,7
"180",1,1,7
"181",1,1,7
"182",1,1,8
"183",1,1,8
"184",1,1,8
"185",1,1,8
"186",1,1,8
"187",1,1,8
"188",1,1,8
"189",1,1,9
"190",1,1,9
"191",1,1,9
"192",1,1,9
"193",1,1,9
"194",1,1,9
"195",1,1,9
"196",1,1,9
"197",1,1,9
"198",1,1,9
"199",1,1,9
"200",1,1,9
